clothing_id,clothing_type,size,material,season,color,waist,chest,hip,length,activity_type,compression_level,moisture_wicking,breathability,elasticity,uv_protection,reflective_elements,pockets,inseam_length,waistband_type,fit_style,brand_name
195,Shorts,XXL,Polyester,Summer,Red,30,0,39,38,Running,Low,Yes,High,Low,Yes,No,2,6,Drawstring,Regular,Adidas
196,Shorts,S,Wool,Fall,Blue,26,0,31,30,Weightlifting,Medium,No,Low,Low,Yes,No,1,9,Elastic,Relaxed,Nike
197,Shorts,S,Wool,Summer,Red,31,0,47,36,Yoga,Medium,No,Low,Low,Yes,Yes,3,7,Drawstring,Slim,Nike
198,Jacket,XXL,Nylon,Spring,Black,27,49,46,23,Yoga,High,Yes,Medium,Medium,No,No,3,3,Elastic,Regular,Nike
199,Jacket,S,Wool,Spring,Green,31,30,37,25,Cycling,Medium,Yes,Low,Low,Yes,No,3,1,Elastic,Regular,Adidas
200,Shorts,XL,Polyester,Spring,Red,35,0,33,30,Cycling,Low,Yes,High,High,Yes,No,2,0,Elastic,Relaxed,Adidas
201,Jacket,XS,Nylon,Summer,White,24,36,41,23,Yoga,Low,No,Low,High,No,Yes,2,5,Drawstring,Relaxed,Adidas
202,Shirt,XS,Wool,Winter,Black,39,31,0,36,Yoga,Medium,Yes,Medium,Low,Yes,No,2,3,Drawstring,Slim,Nike
203,Jacket,S,Spandex,Winter,Black,26,36,36,39,Cycling,Low,No,Medium,High,Yes,Yes,2,3,Elastic,Relaxed,Adidas
204,Shirt,S,Cotton,Fall,White,36,49,0,38,Running,Low,No,High,Low,No,Yes,1,7,Elastic,Relaxed,Nike
205,Jacket,XL,Cotton,Spring,Red,27,43,47,34,Weightlifting,Medium,No,Medium,High,Yes,No,3,8,Elastic,Relaxed,Adidas
206,Shirt,L,Wool,Winter,Green,30,48,0,30,Running,Low,Yes,Medium,Medium,No,No,0,1,Drawstring,Slim,Adidas
207,Jacket,XL,Spandex,Fall,Black,38,30,30,23,Weightlifting,Medium,Yes,Low,Medium,No,No,1,6,Drawstring,Regular,Nike
208,Shorts,XXL,Nylon,Summer,White,29,0,37,25,Running,Medium,Yes,Medium,High,No,Yes,2,1,Drawstring,Relaxed,Adidas
209,Tank Top,XXL,Cotton,Winter,White,25,35,0,22,Yoga,Medium,Yes,High,Medium,No,Yes,1,1,Drawstring,Slim,Nike
210,Shirt,S,Polyester,Fall,White,29,44,0,31,Weightlifting,High,Yes,Medium,Low,No,No,0,6,Elastic,Relaxed,Nike
211,Shorts,S,Cotton,Fall,White,34,0,33,39,Cycling,Medium,Yes,High,High,Yes,Yes,3,1,Elastic,Regular,Adidas
212,Leggings,L,Polyester,Spring,Blue,28,0,35,28,Yoga,High,No,High,High,Yes,No,1,0,Drawstring,Regular,Nike
213,Jacket,L,Polyester,Winter,Blue,31,48,48,20,Yoga,Medium,No,Low,Low,No,Yes,0,2,Drawstring,Slim,Nike
214,Jacket,XL,Cotton,Fall,White,34,47,31,25,Yoga,Low,Yes,Low,High,Yes,Yes,2,1,Drawstring,Slim,Nike
215,Leggings,L,Spandex,Spring,Blue,29,0,49,22,Weightlifting,Low,No,Medium,Low,Yes,No,1,3,Elastic,Regular,Nike
216,Tank Top,XXL,Polyester,Winter,White,37,30,0,28,Cycling,High,Yes,High,High,No,No,0,0,Elastic,Regular,Nike
217,Leggings,M,Nylon,Spring,Black,24,0,31,37,Cycling,Medium,No,Medium,High,Yes,Yes,0,2,Elastic,Slim,Adidas
218,Shorts,S,Wool,Winter,Blue,25,0,44,39,Weightlifting,Medium,No,High,High,Yes,No,0,7,Drawstring,Relaxed,Nike
219,Shirt,M,Polyester,Summer,White,38,48,0,24,Weightlifting,High,Yes,High,Medium,No,No,2,4,Elastic,Regular,Nike
220,Shorts,L,Linen,Fall,Red,30,0,45,39,Cycling,Low,Yes,Medium,Medium,Yes,No,0,5,Drawstring,Slim,Nike
221,Leggings,L,Spandex,Summer,Green,28,0,38,20,Weightlifting,Low,No,Medium,Medium,Yes,No,0,9,Elastic,Slim,Adidas
222,Tank Top,L,Polyester,Spring,Black,35,37,0,25,Running,Low,Yes,Medium,Medium,Yes,Yes,3,8,Drawstring,Relaxed,Nike
223,Tank Top,XL,Nylon,Winter,Black,31,47,0,28,Running,Low,No,High,Medium,No,Yes,0,8,Elastic,Slim,Adidas
224,Jacket,XL,Cotton,Winter,White,34,35,44,26,Cycling,High,Yes,High,Medium,Yes,Yes,2,9,Drawstring,Slim,Nike
225,Shirt,XL,Polyester,Summer,Blue,27,43,0,28,Weightlifting,Medium,Yes,Low,High,Yes,No,2,2,Elastic,Regular,Nike
226,Jacket,XS,Spandex,Winter,Green,37,46,36,34,Weightlifting,High,Yes,High,Low,No,No,2,0,Elastic,Relaxed,Adidas
227,Shirt,XL,Spandex,Summer,White,24,38,0,34,Running,High,No,Low,High,Yes,No,1,7,Elastic,Regular,Nike
228,Shirt,XL,Cotton,Summer,Red,33,45,0,28,Weightlifting,High,No,Low,Low,No,No,3,2,Drawstring,Slim,Nike
229,Jacket,XXL,Silk,Winter,Black,32,33,34,21,Running,Medium,Yes,Medium,Medium,Yes,No,2,5,Elastic,Regular,Nike
230,Shorts,S,Linen,Winter,White,26,0,36,29,Cycling,High,No,Medium,Low,No,No,2,0,Elastic,Relaxed,Adidas
231,Tank Top,L,Silk,Spring,Red,33,41,0,28,Cycling,Medium,Yes,Low,Low,Yes,Yes,1,8,Drawstring,Regular,Nike
232,Jacket,XS,Polyester,Summer,Blue,36,37,31,28,Yoga,Low,No,Low,High,Yes,Yes,0,4,Elastic,Relaxed,Nike
233,Jacket,XS,Silk,Winter,Green,27,38,34,38,Cycling,Low,No,Medium,Low,No,Yes,2,0,Drawstring,Regular,Adidas
234,Shirt,XL,Nylon,Summer,White,27,32,0,22,Running,Medium,No,High,Low,No,Yes,0,9,Elastic,Regular,Nike
235,Leggings,XL,Linen,Winter,Black,31,0,45,21,Weightlifting,High,Yes,Low,Medium,No,No,3,7,Elastic,Regular,Adidas
236,Jacket,L,Nylon,Fall,Green,28,39,33,38,Running,High,Yes,High,High,Yes,No,2,2,Drawstring,Regular,Nike
237,Jacket,XL,Spandex,Summer,Black,29,30,30,27,Weightlifting,Medium,No,Low,Low,Yes,Yes,2,0,Elastic,Slim,Nike
238,Shirt,M,Cotton,Fall,Blue,27,34,0,24,Running,High,Yes,Low,Medium,Yes,No,3,1,Drawstring,Relaxed,Adidas
239,Leggings,L,Cotton,Summer,White,34,0,46,39,Yoga,High,No,Medium,High,Yes,Yes,0,5,Elastic,Relaxed,Nike
240,Shirt,XS,Polyester,Fall,White,29,40,0,35,Cycling,High,No,High,Low,No,No,1,8,Drawstring,Slim,Nike
241,Leggings,M,Polyester,Fall,White,28,0,41,22,Weightlifting,Medium,No,High,Low,Yes,No,3,1,Elastic,Relaxed,Nike
242,Leggings,S,Silk,Winter,Green,32,0,43,28,Weightlifting,Low,Yes,High,Low,No,Yes,1,9,Elastic,Slim,Adidas
243,Leggings,M,Linen,Summer,Green,38,0,42,22,Cycling,Low,No,Medium,Low,No,Yes,2,2,Drawstring,Relaxed,Nike
244,Jacket,XL,Polyester,Summer,Red,36,43,32,23,Weightlifting,Low,No,Low,Low,No,Yes,0,9,Elastic,Relaxed,Nike
245,Jacket,L,Spandex,Spring,White,35,47,49,23,Cycling,Low,No,Low,Low,No,Yes,1,2,Elastic,Slim,Adidas
246,Leggings,XL,Linen,Winter,Black,37,0,38,34,Weightlifting,Medium,Yes,Low,Low,No,No,2,1,Drawstring,Regular,Nike
247,Tank Top,XL,Silk,Fall,Green,30,49,0,36,Yoga,Medium,Yes,High,Low,No,No,0,0,Drawstring,Regular,Nike
248,Tank Top,M,Silk,Fall,Green,35,31,0,26,Running,High,Yes,Medium,High,No,Yes,1,9,Drawstring,Relaxed,Adidas
249,Shirt,XL,Linen,Spring,Green,31,42,0,25,Yoga,Medium,No,Medium,High,Yes,Yes,1,0,Drawstring,Slim,Nike
250,Shorts,M,Wool,Summer,Green,27,0,31,37,Weightlifting,High,No,High,High,Yes,No,0,5,Elastic,Slim,Nike
251,Leggings,XXL,Linen,Summer,Black,35,0,46,27,Weightlifting,High,Yes,Low,Low,Yes,Yes,1,5,Elastic,Relaxed,Nike
252,Tank Top,S,Silk,Summer,Blue,32,36,0,35,Cycling,Low,No,Medium,High,No,Yes,0,0,Elastic,Relaxed,Adidas
253,Tank Top,XL,Spandex,Winter,Red,30,44,0,21,Running,Medium,Yes,Medium,Low,Yes,No,1,1,Elastic,Slim,Adidas
254,Leggings,XL,Polyester,Summer,Green,39,0,48,25,Yoga,High,No,Medium,Low,No,Yes,3,9,Elastic,Relaxed,Nike
255,Jacket,M,Silk,Fall,Red,39,47,31,24,Weightlifting,Medium,No,Low,Medium,No,Yes,2,6,Drawstring,Regular,Nike
256,Leggings,S,Linen,Spring,Blue,38,0,47,21,Yoga,Low,No,Low,Medium,Yes,Yes,1,6,Drawstring,Slim,Nike
257,Jacket,XS,Polyester,Fall,Blue,25,44,42,32,Weightlifting,Medium,No,High,High,Yes,Yes,1,1,Elastic,Regular,Adidas
258,Shorts,M,Silk,Spring,Black,26,0,46,39,Running,High,Yes,Medium,Low,No,Yes,3,6,Elastic,Slim,Adidas
259,Shorts,XL,Cotton,Winter,Black,24,0,44,29,Yoga,Medium,Yes,Medium,Low,Yes,No,1,9,Drawstring,Slim,Nike
260,Jacket,XS,Spandex,Winter,Red,37,48,42,35,Cycling,Low,Yes,Medium,High,No,No,3,8,Drawstring,Regular,Adidas
261,Jacket,L,Nylon,Fall,Black,33,46,32,25,Cycling,High,No,High,Low,No,Yes,3,7,Elastic,Relaxed,Adidas
262,Leggings,L,Spandex,Summer,Blue,29,0,35,38,Yoga,Low,No,Low,Low,No,No,1,3,Elastic,Slim,Nike
263,Shirt,XS,Linen,Fall,Red,28,46,0,21,Cycling,High,Yes,High,Medium,No,Yes,1,1,Elastic,Relaxed,Adidas
264,Shorts,XS,Polyester,Fall,Black,36,0,33,36,Yoga,Medium,Yes,High,Medium,No,No,0,3,Drawstring,Regular,Nike
265,Jacket,XL,Polyester,Summer,Green,38,43,42,35,Running,Low,Yes,Medium,Low,Yes,No,1,4,Drawstring,Slim,Adidas
266,Leggings,XL,Spandex,Spring,Green,29,0,32,27,Weightlifting,Medium,Yes,Low,Low,No,Yes,3,4,Drawstring,Slim,Adidas
267,Shirt,M,Wool,Summer,Black,27,37,0,21,Weightlifting,High,Yes,Medium,Low,No,Yes,3,4,Drawstring,Relaxed,Nike
268,Tank Top,M,Silk,Fall,White,27,34,0,28,Weightlifting,High,No,Low,Medium,No,No,1,9,Drawstring,Slim,Adidas
269,Leggings,XL,Polyester,Winter,White,25,0,40,37,Cycling,High,No,High,Low,Yes,Yes,2,7,Elastic,Slim,Adidas
270,Shorts,XXL,Nylon,Summer,Blue,36,0,43,27,Weightlifting,Low,No,Low,Medium,Yes,Yes,1,8,Elastic,Slim,Nike
271,Jacket,XS,Nylon,Spring,Green,35,31,31,36,Weightlifting,High,Yes,Low,High,No,No,3,6,Drawstring,Slim,Nike
272,Jacket,XXL,Nylon,Winter,Black,28,36,41,20,Cycling,Medium,Yes,Low,Medium,No,No,0,3,Drawstring,Regular,Nike
273,Shorts,XS,Spandex,Summer,Red,27,0,30,23,Yoga,High,No,Low,High,Yes,No,1,4,Elastic,Slim,Adidas
274,Shorts,L,Wool,Fall,Red,35,0,30,34,Running,Low,No,High,Medium,Yes,Yes,3,7,Elastic,Regular,Adidas
275,Jacket,XXL,Polyester,Spring,Red,30,43,33,23,Cycling,Low,No,Medium,Low,Yes,No,2,4,Elastic,Regular,Adidas
276,Shorts,XS,Cotton,Fall,Green,28,0,48,30,Cycling,Low,Yes,High,Low,Yes,Yes,1,8,Drawstring,Slim,Nike
277,Shirt,S,Nylon,Spring,Green,31,32,0,34,Weightlifting,Low,No,High,High,No,Yes,1,1,Drawstring,Relaxed,Adidas
278,Shirt,XXL,Wool,Summer,Red,29,42,0,33,Yoga,High,Yes,Medium,Medium,Yes,Yes,2,3,Elastic,Regular,Adidas
279,Tank Top,XL,Spandex,Winter,Black,35,47,0,26,Running,High,No,High,Medium,Yes,Yes,2,2,Drawstring,Relaxed,Nike
280,Jacket,XXL,Polyester,Winter,White,36,46,38,27,Yoga,Medium,Yes,Medium,Medium,No,No,3,9,Elastic,Relaxed,Nike
281,Tank Top,XS,Spandex,Winter,Blue,25,45,0,39,Weightlifting,High,Yes,Medium,High,Yes,No,1,7,Drawstring,Slim,Adidas
282,Leggings,S,Polyester,Spring,Blue,39,0,33,23,Weightlifting,High,Yes,Medium,High,No,No,0,3,Elastic,Relaxed,Nike
283,Shorts,XL,Wool,Fall,Red,26,0,30,34,Running,Low,No,Low,High,Yes,Yes,3,4,Drawstring,Relaxed,Nike
284,Leggings,XL,Polyester,Summer,Red,38,0,31,34,Weightlifting,Medium,No,Low,Low,No,Yes,2,0,Drawstring,Relaxed,Adidas
285,Shirt,XXL,Cotton,Winter,Blue,30,41,0,38,Yoga,Medium,No,Low,Medium,Yes,Yes,3,6,Drawstring,Relaxed,Nike
286,Tank Top,XL,Cotton,Spring,Blue,28,46,0,35,Cycling,Low,Yes,Low,Low,No,No,2,7,Drawstring,Slim,Adidas
287,Jacket,XL,Silk,Summer,Blue,38,33,35,37,Running,High,No,Low,Medium,Yes,No,0,9,Drawstring,Regular,Nike
288,Jacket,XXL,Silk,Winter,White,24,40,40,38,Yoga,Low,No,Low,High,Yes,No,3,1,Elastic,Slim,Adidas
289,Shirt,XXL,Polyester,Fall,Black,25,38,0,21,Weightlifting,Low,Yes,High,Low,No,Yes,2,7,Drawstring,Slim,Adidas
290,Shirt,XS,Wool,Fall,Blue,33,39,0,25,Weightlifting,Medium,No,Low,Medium,No,Yes,2,5,Drawstring,Relaxed,Nike
291,Leggings,L,Linen,Summer,Green,24,0,31,31,Yoga,High,Yes,High,Low,Yes,Yes,3,5,Elastic,Regular,Nike
292,Leggings,S,Wool,Spring,Black,36,0,34,32,Running,Medium,Yes,Medium,Low,No,Yes,1,8,Elastic,Regular,Nike
293,Tank Top,XL,Wool,Summer,Black,34,42,0,22,Running,Medium,No,Low,High,Yes,Yes,3,5,Drawstring,Regular,Adidas
294,Shorts,XS,Spandex,Spring,Red,36,0,43,35,Yoga,Medium,Yes,Low,High,Yes,Yes,2,2,Elastic,Regular,Adidas
295,Tank Top,M,Wool,Summer,White,27,37,0,37,Weightlifting,Low,No,Medium,Low,Yes,No,0,1,Elastic,Regular,Nike
296,Shirt,XL,Cotton,Summer,White,27,34,0,38,Yoga,High,No,High,High,No,No,2,7,Elastic,Relaxed,Nike
297,Shorts,L,Silk,Winter,Green,39,0,30,37,Running,High,Yes,High,High,Yes,No,1,6,Elastic,Regular,Nike
298,Shorts,XXL,Linen,Fall,Green,26,0,44,33,Weightlifting,Low,No,Low,Low,No,No,1,7,Drawstring,Slim,Nike
299,Jacket,L,Nylon,Winter,Red,37,42,30,35,Cycling,High,Yes,Low,Low,Yes,Yes,0,8,Drawstring,Regular,Nike
300,Shorts,S,Wool,Spring,Red,29,0,33,37,Cycling,Low,No,Low,High,Yes,No,2,0,Elastic,Relaxed,Adidas
301,Shorts,XL,Spandex,Winter,White,33,0,41,23,Running,High,No,Medium,High,No,Yes,3,1,Elastic,Regular,Adidas
302,Jacket,XL,Spandex,Fall,Black,36,33,31,35,Weightlifting,Medium,No,Medium,High,Yes,Yes,2,4,Drawstring,Regular,Adidas
303,Shirt,L,Spandex,Fall,Green,38,30,0,34,Weightlifting,Low,No,Medium,Low,Yes,Yes,3,5,Drawstring,Relaxed,Adidas
304,Tank Top,L,Polyester,Spring,White,29,30,0,27,Weightlifting,High,No,Medium,Low,No,Yes,1,6,Elastic,Relaxed,Adidas
305,Jacket,XXL,Polyester,Winter,Blue,36,35,30,23,Yoga,Medium,Yes,Low,Medium,Yes,Yes,2,2,Drawstring,Regular,Nike
306,Shorts,M,Cotton,Winter,Black,25,0,43,21,Weightlifting,Medium,Yes,High,High,Yes,Yes,3,8,Drawstring,Regular,Adidas
307,Shorts,XS,Cotton,Spring,Green,39,0,32,33,Weightlifting,Medium,Yes,High,Low,Yes,No,0,8,Elastic,Regular,Adidas
308,Leggings,XL,Wool,Fall,Green,37,0,38,24,Cycling,Low,No,High,Low,No,No,0,0,Drawstring,Relaxed,Nike
309,Jacket,XS,Spandex,Spring,Green,28,45,45,39,Running,High,Yes,High,Low,No,Yes,0,6,Elastic,Slim,Nike
310,Tank Top,M,Wool,Fall,Red,30,37,0,23,Cycling,Medium,Yes,Low,Low,Yes,Yes,2,9,Elastic,Regular,Adidas
311,Shorts,L,Cotton,Summer,Green,36,0,45,23,Yoga,High,Yes,High,Medium,No,Yes,2,0,Drawstring,Slim,Adidas
312,Leggings,XS,Linen,Summer,White,31,0,42,27,Yoga,Medium,No,Medium,Medium,Yes,Yes,1,0,Elastic,Regular,Adidas
313,Leggings,XL,Silk,Summer,Red,27,0,46,23,Yoga,Low,Yes,High,Low,No,Yes,3,4,Drawstring,Relaxed,Nike
314,Jacket,S,Spandex,Spring,Green,36,44,40,28,Running,Low,No,Low,Medium,No,Yes,0,9,Elastic,Slim,Nike
315,Leggings,XL,Cotton,Fall,Blue,34,0,46,37,Cycling,Medium,Yes,Low,Low,No,No,3,8,Drawstring,Relaxed,Adidas
316,Jacket,XXL,Linen,Summer,Red,29,43,42,38,Weightlifting,High,No,Medium,High,No,Yes,3,4,Drawstring,Regular,Nike
317,Tank Top,S,Nylon,Summer,Black,37,40,0,29,Weightlifting,Low,Yes,Medium,Medium,Yes,Yes,3,6,Elastic,Slim,Adidas
318,Shorts,L,Linen,Fall,Black,32,0,32,37,Running,Low,No,Low,High,Yes,No,1,6,Drawstring,Regular,Adidas
319,Jacket,XS,Silk,Winter,Blue,32,35,39,29,Running,High,No,Medium,Medium,No,Yes,3,3,Elastic,Slim,Nike
320,Tank Top,XL,Linen,Fall,White,30,30,0,28,Yoga,Medium,Yes,Medium,Low,Yes,Yes,3,0,Elastic,Slim,Nike
321,Leggings,S,Spandex,Winter,Black,26,0,32,22,Running,Medium,Yes,Low,Medium,No,Yes,0,9,Elastic,Regular,Adidas
322,Leggings,M,Nylon,Winter,Green,27,0,45,24,Weightlifting,Low,Yes,Low,Low,No,No,3,2,Drawstring,Relaxed,Adidas
323,Shorts,XL,Silk,Winter,White,25,0,42,25,Weightlifting,Low,Yes,Medium,Medium,Yes,Yes,0,5,Drawstring,Relaxed,Adidas
324,Leggings,XS,Polyester,Summer,Green,37,0,42,39,Cycling,Medium,No,Low,High,No,No,3,5,Drawstring,Slim,Adidas
325,Shorts,M,Linen,Summer,Red,33,0,40,25,Cycling,High,Yes,Medium,Low,No,Yes,0,8,Elastic,Regular,Nike
326,Shirt,XL,Cotton,Summer,White,29,40,0,25,Cycling,Low,No,Medium,Low,No,No,0,1,Elastic,Relaxed,Adidas
327,Shorts,XL,Wool,Summer,Black,34,0,47,35,Running,Low,No,High,Medium,Yes,No,3,8,Elastic,Relaxed,Nike
328,Jacket,XL,Nylon,Spring,Black,34,32,44,33,Weightlifting,Medium,Yes,Low,High,Yes,Yes,0,6,Drawstring,Regular,Adidas
329,Shorts,XL,Polyester,Winter,Black,24,0,39,26,Cycling,Low,Yes,Medium,Medium,Yes,Yes,1,6,Elastic,Relaxed,Nike
330,Jacket,XXL,Cotton,Winter,Black,27,45,30,37,Cycling,Low,No,Low,Medium,Yes,No,1,2,Elastic,Regular,Nike
331,Shirt,M,Polyester,Winter,Red,35,45,0,37,Running,Medium,Yes,Low,Medium,No,Yes,3,0,Drawstring,Regular,Nike
332,Shorts,XS,Spandex,Winter,Blue,26,0,48,33,Running,Medium,Yes,High,High,No,Yes,1,5,Drawstring,Slim,Adidas
333,Shirt,M,Silk,Summer,Black,39,47,0,23,Running,Medium,No,Low,Medium,Yes,Yes,2,4,Elastic,Relaxed,Adidas
334,Shorts,S,Cotton,Summer,Black,39,0,44,39,Cycling,Medium,No,High,Low,No,No,0,4,Drawstring,Relaxed,Nike
335,Shorts,L,Silk,Winter,Black,24,0,46,37,Weightlifting,Medium,No,Medium,Low,Yes,No,3,1,Elastic,Slim,Nike
336,Leggings,XXL,Linen,Fall,Blue,34,0,31,36,Running,Medium,No,High,Medium,Yes,No,3,7,Elastic,Relaxed,Nike
337,Leggings,S,Silk,Winter,Black,28,0,46,38,Cycling,Low,No,Low,Low,Yes,No,0,6,Drawstring,Relaxed,Nike
338,Tank Top,XL,Spandex,Winter,Black,30,40,0,37,Weightlifting,High,Yes,High,Medium,No,No,2,9,Elastic,Relaxed,Adidas
339,Shorts,XS,Spandex,Spring,Red,35,0,38,24,Weightlifting,Medium,Yes,High,High,Yes,Yes,1,2,Elastic,Regular,Adidas
340,Shirt,XXL,Cotton,Spring,Red,24,42,0,20,Yoga,High,No,Medium,Low,Yes,Yes,3,7,Drawstring,Regular,Nike
341,Leggings,XXL,Silk,Fall,White,35,0,39,27,Cycling,Low,No,Medium,High,No,Yes,2,7,Elastic,Regular,Nike
342,Tank Top,L,Wool,Winter,Black,27,43,0,24,Weightlifting,Low,No,Low,High,No,Yes,0,3,Elastic,Slim,Nike
343,Jacket,M,Wool,Winter,Blue,26,39,42,20,Running,Medium,No,High,High,Yes,No,0,6,Drawstring,Relaxed,Adidas
344,Shirt,XL,Polyester,Fall,Red,28,39,0,39,Weightlifting,Low,Yes,Medium,Low,No,Yes,1,0,Drawstring,Regular,Nike
345,Shirt,XL,Polyester,Winter,Black,39,49,0,35,Running,Medium,Yes,High,Low,Yes,No,2,9,Drawstring,Slim,Nike
346,Shorts,M,Linen,Spring,White,27,0,48,35,Yoga,High,No,High,Medium,No,Yes,0,2,Drawstring,Slim,Adidas
347,Shirt,M,Cotton,Summer,Red,35,49,0,36,Weightlifting,High,No,Medium,High,No,No,2,8,Elastic,Slim,Nike
348,Tank Top,L,Linen,Spring,Red,25,49,0,21,Cycling,Medium,Yes,Low,High,Yes,Yes,3,0,Elastic,Relaxed,Nike
349,Leggings,S,Polyester,Winter,Green,35,0,40,37,Yoga,Medium,No,Low,Low,Yes,Yes,2,2,Drawstring,Relaxed,Nike
350,Leggings,L,Silk,Summer,White,25,0,39,20,Weightlifting,Medium,Yes,High,Low,No,Yes,1,1,Elastic,Slim,Adidas
351,Tank Top,M,Linen,Spring,Blue,34,31,0,31,Yoga,Medium,No,High,Low,Yes,No,3,9,Drawstring,Regular,Nike
352,Tank Top,XS,Linen,Winter,White,28,45,0,21,Running,Medium,Yes,Low,Low,Yes,Yes,2,4,Drawstring,Slim,Adidas
353,Tank Top,S,Spandex,Summer,Black,32,39,0,29,Cycling,Medium,Yes,High,High,Yes,Yes,3,8,Elastic,Slim,Adidas
354,Leggings,XL,Wool,Winter,Black,35,0,40,39,Cycling,Medium,No,Low,Medium,No,No,1,9,Elastic,Regular,Adidas
355,Tank Top,XXL,Wool,Spring,Blue,29,34,0,36,Yoga,Low,No,High,High,Yes,Yes,0,2,Drawstring,Relaxed,Nike
356,Tank Top,S,Linen,Fall,Green,24,40,0,38,Cycling,High,No,High,High,Yes,Yes,0,0,Elastic,Slim,Nike
357,Leggings,XXL,Polyester,Fall,Green,32,0,36,20,Weightlifting,Medium,Yes,Medium,Low,No,No,3,2,Drawstring,Slim,Adidas
358,Tank Top,XL,Wool,Fall,Black,29,41,0,22,Weightlifting,Low,No,High,Low,Yes,No,1,8,Drawstring,Slim,Nike
359,Shirt,XXL,Silk,Fall,Red,32,33,0,21,Running,Low,No,Low,Low,No,No,3,2,Elastic,Relaxed,Adidas
360,Shorts,XL,Nylon,Fall,Blue,25,0,44,34,Running,High,Yes,High,Medium,No,No,1,2,Elastic,Regular,Nike
361,Leggings,L,Silk,Winter,Green,31,0,44,37,Yoga,Low,Yes,High,High,No,Yes,3,9,Elastic,Regular,Nike
362,Tank Top,S,Spandex,Winter,Red,37,42,0,23,Running,High,No,Low,Low,Yes,No,1,6,Elastic,Regular,Nike
363,Leggings,S,Cotton,Fall,Blue,34,0,48,39,Yoga,High,Yes,Low,High,No,Yes,2,7,Drawstring,Slim,Adidas
364,Tank Top,XL,Silk,Fall,White,31,42,0,22,Running,Low,No,Medium,High,Yes,No,0,0,Drawstring,Relaxed,Nike
365,Shorts,XXL,Nylon,Fall,White,36,0,45,38,Cycling,Low,Yes,Medium,Low,Yes,Yes,3,1,Elastic,Relaxed,Nike
366,Shirt,XL,Polyester,Summer,Blue,29,42,0,39,Weightlifting,Low,Yes,Low,Low,No,No,0,1,Drawstring,Relaxed,Adidas
367,Shirt,XS,Nylon,Summer,Green,32,34,0,21,Yoga,Medium,No,High,High,No,Yes,1,1,Elastic,Regular,Adidas
368,Shirt,XS,Spandex,Fall,Blue,24,40,0,38,Cycling,High,Yes,Medium,Medium,No,No,0,2,Drawstring,Regular,Nike
369,Shorts,L,Cotton,Fall,Green,38,0,38,24,Yoga,High,No,Low,High,No,No,3,5,Elastic,Relaxed,Nike
370,Shirt,M,Polyester,Summer,White,38,33,0,33,Cycling,Medium,No,Low,High,Yes,No,3,8,Drawstring,Relaxed,Adidas
371,Shorts,XL,Wool,Winter,Black,32,0,47,36,Weightlifting,Medium,Yes,Low,Medium,Yes,Yes,0,3,Drawstring,Slim,Adidas
372,Jacket,XS,Silk,Winter,Black,36,44,39,24,Running,Medium,No,High,Medium,No,Yes,2,9,Elastic,Slim,Nike
373,Leggings,S,Linen,Fall,White,36,0,36,26,Running,Low,Yes,High,High,Yes,No,1,1,Elastic,Regular,Nike
374,Leggings,M,Polyester,Winter,Blue,30,0,30,22,Weightlifting,Low,No,Medium,Low,No,No,0,7,Elastic,Regular,Nike
375,Leggings,L,Linen,Spring,White,25,0,30,20,Weightlifting,Low,Yes,High,High,Yes,Yes,1,4,Drawstring,Slim,Nike
376,Shorts,XL,Cotton,Spring,Red,30,0,39,22,Yoga,High,No,Low,Medium,Yes,No,0,5,Elastic,Relaxed,Adidas
377,Tank Top,L,Cotton,Spring,Black,35,32,0,37,Running,High,Yes,Low,Medium,Yes,No,2,9,Drawstring,Slim,Nike
378,Shirt,L,Nylon,Fall,Black,25,39,0,33,Weightlifting,Low,No,High,Medium,Yes,Yes,1,3,Elastic,Relaxed,Nike
379,Shorts,S,Cotton,Summer,Red,34,0,38,36,Weightlifting,High,Yes,Medium,Low,No,Yes,0,3,Elastic,Relaxed,Nike
380,Shirt,M,Spandex,Summer,Black,24,34,0,32,Running,High,No,High,Medium,No,Yes,0,0,Elastic,Regular,Nike
381,Leggings,S,Polyester,Fall,White,35,0,47,31,Cycling,High,No,Low,High,Yes,Yes,3,2,Elastic,Regular,Adidas
382,Shorts,L,Cotton,Fall,Green,28,0,31,22,Running,Low,Yes,High,Medium,No,No,1,8,Drawstring,Slim,Nike
383,Shorts,XL,Silk,Fall,Black,37,0,47,26,Yoga,High,Yes,Medium,High,No,Yes,3,4,Elastic,Slim,Nike
384,Leggings,L,Silk,Spring,Black,29,0,46,32,Cycling,Medium,No,High,Low,Yes,No,1,6,Elastic,Regular,Nike
385,Tank Top,L,Polyester,Spring,Green,39,49,0,20,Yoga,Low,Yes,Low,Low,Yes,Yes,1,3,Elastic,Slim,Nike
386,Jacket,XL,Nylon,Spring,White,26,44,41,38,Cycling,Medium,No,High,High,Yes,No,2,8,Drawstring,Relaxed,Nike
387,Shorts,L,Silk,Summer,Red,25,0,37,37,Weightlifting,Medium,No,High,Low,Yes,No,2,7,Drawstring,Relaxed,Adidas
388,Jacket,XS,Nylon,Spring,Black,26,43,39,20,Cycling,High,No,High,Medium,No,No,1,3,Elastic,Regular,Nike
389,Tank Top,XXL,Spandex,Summer,Red,31,46,0,21,Running,Medium,Yes,Low,High,No,No,3,0,Drawstring,Relaxed,Adidas
